date,day_label,sheet,service_no,unit,unit_base,zone,is_inferred_side,pax,guest_type,meal_start_min,meal_end_min,duration_min_clean,dq_flags,overlap_conflict
2026-03-13,ศุกร์ 13/3,133,47,8B,8B,Outdoor,False,2.0,Walk in,610.0,670.0,60.0,DQ01_NO_QUEUE_DATA_THIS_DAY,False
2026-03-13,ศุกร์ 13/3,133,48,4_?,4,Indoor,True,2.0,In house,620.0,657.0,37.0,DQ01_NO_QUEUE_DATA_THIS_DAY|DQ04_BARE_TABLE_NO,False
2026-03-13,ศุกร์ 13/3,133,49,2_?,2,Indoor,True,2.0,Walk in,632.0,660.0,28.0,DQ01_NO_QUEUE_DATA_THIS_DAY|DQ04_BARE_TABLE_NO,False
2026-03-13,ศุกร์ 13/3,133,50,6_?,6,Indoor,True,2.0,Walk in,635.0,680.0,45.0,DQ01_NO_QUEUE_DATA_THIS_DAY|DQ04_BARE_TABLE_NO,False
2026-03-13,ศุกร์ 13/3,133,51,5_?,5,Indoor,True,2.0,In house,645.0,687.0,42.0,DQ01_NO_QUEUE_DATA_THIS_DAY|DQ04_BARE_TABLE_NO,False
2026-03-13,ศุกร์ 13/3,133,52,9_?,9,Outdoor,True,2.0,Walk in,653.0,717.0,64.0,DQ01_NO_QUEUE_DATA_THIS_DAY|DQ04_BARE_TABLE_NO,False
2026-03-13,ศุกร์ 13/3,133,53,1_?,1,Indoor,True,2.0,Walk in,658.0,717.0,59.0,DQ01_NO_QUEUE_DATA_THIS_DAY|DQ04_BARE_TABLE_NO,False
2026-03-13,ศุกร์ 13/3,133,54,4_?,4,Indoor,True,2.0,Walk in,660.0,723.0,63.0,DQ01_NO_QUEUE_DATA_THIS_DAY|DQ04_BARE_TABLE_NO,False
2026-03-13,ศุกร์ 13/3,133,55,16,16,Outdoor,False,2.0,Walk in,660.0,705.0,45.0,DQ01_NO_QUEUE_DATA_THIS_DAY|DQ03_TABLE16_NOT_IN_APPENDIX,False
2026-03-13,ศุกร์ 13/3,133,56,3_?,3,Indoor,True,2.0,In house,675.0,703.0,28.0,DQ01_NO_QUEUE_DATA_THIS_DAY|DQ04_BARE_TABLE_NO,False
2026-03-13,ศุกร์ 13/3,133,57,2_?,2,Indoor,True,2.0,Walk in,676.0,720.0,44.0,DQ01_NO_QUEUE_DATA_THIS_DAY|DQ04_BARE_TABLE_NO,False
2026-03-14,เสาร์ 14/3,143,1,5B,5B,Indoor,False,1.0,Walk in,389.0,614.0,225.0,,False
2026-03-14,เสาร์ 14/3,143,2,7A,7A,Outdoor,False,2.0,Walk in,392.0,482.0,90.0,,False
2026-03-14,เสาร์ 14/3,143,3,1A,1A,Indoor,False,1.0,Walk in,393.0,467.0,74.0,,False
2026-03-14,เสาร์ 14/3,143,4,4B,4B,Indoor,False,4.0,Walk in,393.0,489.0,96.0,DQ16_PAX_OVER_CAPACITY,False
2026-03-14,เสาร์ 14/3,143,5,16,16,Outdoor,False,2.0,Walk in,396.0,465.0,69.0,DQ03_TABLE16_NOT_IN_APPENDIX,False
2026-03-14,เสาร์ 14/3,143,6,3_?,3,Indoor,True,1.0,Walk in,404.0,436.0,32.0,DQ04_BARE_TABLE_NO,False
2026-03-14,เสาร์ 14/3,143,7,6_?,6,Indoor,True,1.0,Walk in,404.0,507.0,103.0,DQ04_BARE_TABLE_NO,False
2026-03-14,เสาร์ 14/3,143,8,11_?,11,Outdoor,True,1.0,Walk in,404.0,468.0,64.0,DQ04_BARE_TABLE_NO,False
2026-03-14,เสาร์ 14/3,143,9,4A,4A,Indoor,False,2.0,Walk in,408.0,470.0,62.0,,False
2026-03-14,เสาร์ 14/3,143,10,3B,3B,Indoor,False,1.0,Walk in,437.0,566.0,129.0,,True
2026-03-14,เสาร์ 14/3,143,11,11_?,11,Outdoor,True,1.0,Walk in,428.0,470.0,42.0,DQ04_BARE_TABLE_NO,False
2026-03-14,เสาร์ 14/3,143,12,8B,8B,Outdoor,False,2.0,In house,435.0,507.0,72.0,,False
2026-03-14,เสาร์ 14/3,143,13,8C,8C,Outdoor,False,2.0,In house,445.0,507.0,62.0,,False
2026-03-14,เสาร์ 14/3,143,14,8A,8A,Outdoor,False,1.0,Walk in,446.0,516.0,70.0,,False
2026-03-14,เสาร์ 14/3,143,15,7B,7B,Outdoor,False,2.0,In house,448.0,499.0,51.0,,False
2026-03-14,เสาร์ 14/3,143,16,15,15,Outdoor,False,4.0,Walk in,449.0,518.0,69.0,,False
2026-03-14,เสาร์ 14/3,143,17,9A,9A,Outdoor,False,2.0,In house,455.0,487.0,32.0,,False
2026-03-14,เสาร์ 14/3,143,18,14,14,Outdoor,False,2.0,In house,458.0,510.0,52.0,,False
2026-03-14,เสาร์ 14/3,143,19,12,12,Outdoor,False,2.0,Walk in,460.0,571.0,111.0,,False
2026-03-14,เสาร์ 14/3,143,20,7C,7C,Outdoor,False,1.0,Walk in,467.0,493.0,26.0,,False
2026-03-14,เสาร์ 14/3,143,21,16,16,Outdoor,False,2.0,In house,469.0,492.0,23.0,DQ03_TABLE16_NOT_IN_APPENDIX,False
2026-03-14,เสาร์ 14/3,143,22,11A,11A,Outdoor,False,3.0,Walk in,471.0,615.0,144.0,DQ04_BARE_TABLE_NO,False
2026-03-14,เสาร์ 14/3,143,22,11B,11B,Outdoor,False,3.0,Walk in,471.0,615.0,144.0,DQ04_BARE_TABLE_NO,False
2026-03-14,เสาร์ 14/3,143,23,1A,1A,Indoor,False,1.0,In house,475.0,499.0,24.0,,False
2026-03-14,เสาร์ 14/3,143,24,10B,10B,Outdoor,False,2.0,In house,477.0,505.0,28.0,,False
2026-03-14,เสาร์ 14/3,143,25,9B,9B,Outdoor,False,2.0,In house,482.0,516.0,34.0,,False
2026-03-14,เสาร์ 14/3,143,26,2A,2A,Indoor,False,4.0,Walk in,485.0,561.0,76.0,DQ04_BARE_TABLE_NO,False
2026-03-14,เสาร์ 14/3,143,26,2B,2B,Indoor,False,4.0,Walk in,485.0,561.0,76.0,DQ04_BARE_TABLE_NO,False
2026-03-14,เสาร์ 14/3,143,27,4A,4A,Indoor,False,2.0,Walk in,486.0,508.0,22.0,,False
2026-03-14,เสาร์ 14/3,143,28,1B,1B,Indoor,False,1.0,In house,492.0,528.0,36.0,,False
2026-03-14,เสาร์ 14/3,143,29,4B,4B,Indoor,False,4.0,In house,493.0,530.0,37.0,DQ16_PAX_OVER_CAPACITY,False
2026-03-14,เสาร์ 14/3,143,30,7A,7A,Outdoor,False,2.0,Walk in,494.0,586.0,92.0,,False
2026-03-14,เสาร์ 14/3,143,31,1A,1A,Indoor,False,1.0,Walk in,500.0,581.0,81.0,,False
2026-03-14,เสาร์ 14/3,143,32,16,16,Outdoor,False,2.0,Walk in,497.0,570.0,73.0,DQ03_TABLE16_NOT_IN_APPENDIX,False
2026-03-14,เสาร์ 14/3,143,33,6A,6A,Indoor,False,4.0,Walk in,509.0,586.0,77.0,DQ04_BARE_TABLE_NO,False
2026-03-14,เสาร์ 14/3,143,33,6B,6B,Indoor,False,4.0,Walk in,509.0,586.0,77.0,DQ04_BARE_TABLE_NO,False
2026-03-14,เสาร์ 14/3,143,34,7C,7C,Outdoor,False,2.0,Walk in,500.0,600.0,100.0,,False
2026-03-14,เสาร์ 14/3,143,35,7B,7B,Outdoor,False,1.0,In house,503.0,528.0,25.0,,False
2026-03-14,เสาร์ 14/3,143,36,9A,9A,Outdoor,False,2.0,Walk in,503.0,552.0,49.0,,False
2026-03-14,เสาร์ 14/3,143,37,1B,1B,Indoor,False,2.0,Walk in,528.0,605.0,77.0,,True
2026-03-14,เสาร์ 14/3,143,38,8B,8B,Outdoor,False,2.0,Walk in,509.0,621.0,112.0,,False
2026-03-14,เสาร์ 14/3,143,39,10B,10B,Outdoor,False,1.0,Walk in,514.0,649.0,135.0,,False
2026-03-14,เสาร์ 14/3,143,40,13,13,Outdoor,False,5.0,In house,523.0,590.0,67.0,,True
2026-03-14,เสาร์ 14/3,143,40,14,14,Outdoor,False,5.0,In house,523.0,590.0,67.0,,False
2026-03-14,เสาร์ 14/3,143,41,10A,10A,Outdoor,False,1.0,In house,526.0,564.0,38.0,,False
2026-03-14,เสาร์ 14/3,143,42,9B,9B,Outdoor,False,2.0,Walk in,530.0,557.0,27.0,,False
2026-03-14,เสาร์ 14/3,143,43,15,15,Outdoor,False,4.0,Walk in,531.0,581.0,50.0,,False
2026-03-14,เสาร์ 14/3,143,44,3B,3B,Indoor,False,2.0,In house,532.0,565.0,33.0,,True
2026-03-14,เสาร์ 14/3,143,45,8C,8C,Outdoor,False,1.0,In house,534.0,570.0,36.0,,False
2026-03-14,เสาร์ 14/3,143,46,7B,7B,Outdoor,False,2.0,In house,535.0,575.0,40.0,,False
2026-03-14,เสาร์ 14/3,143,47,8A,8A,Outdoor,False,1.0,Walk in,540.0,609.0,69.0,,False
2026-03-14,เสาร์ 14/3,143,48,9A,9A,Outdoor,False,1.0,Walk in,552.0,660.0,108.0,,False
2026-03-14,เสาร์ 14/3,143,49,1B,1B,Indoor,False,3.0,Walk in,563.0,608.0,45.0,,True
2026-03-14,เสาร์ 14/3,143,49,2A,2A,Indoor,False,3.0,Walk in,563.0,608.0,45.0,,False
2026-03-14,เสาร์ 14/3,143,50,10A,10A,Outdoor,False,1.0,Walk in,564.0,585.0,21.0,,False
2026-03-14,เสาร์ 14/3,143,52,3B,3B,Indoor,False,2.0,In house,565.0,592.0,27.0,,True
2026-03-14,เสาร์ 14/3,143,53,15,15,Outdoor,False,2.0,In house,583.0,618.0,35.0,,False
2026-03-14,เสาร์ 14/3,143,54,4A,4A,Indoor,False,2.0,In house,570.0,592.0,22.0,,False
2026-03-14,เสาร์ 14/3,143,55,9B,9B,Outdoor,False,1.0,Walk in,576.0,708.0,132.0,,False
2026-03-14,เสาร์ 14/3,143,56,13,13,Outdoor,False,2.0,In house,578.0,621.0,43.0,,True
2026-03-14,เสาร์ 14/3,143,57,7B,7B,Outdoor,False,2.0,Walk in,579.0,627.0,48.0,,False
2026-03-14,เสาร์ 14/3,143,59,1A,1A,Indoor,False,2.0,Walk in,582.0,663.0,81.0,,False
2026-03-14,เสาร์ 14/3,143,60,7A,7A,Outdoor,False,1.0,Walk in,588.0,681.0,93.0,,False
2026-03-14,เสาร์ 14/3,143,61,4A,4A,Indoor,False,2.0,Walk in,594.0,656.0,62.0,,False
2026-03-14,เสาร์ 14/3,143,62,4B,4B,Indoor,False,2.0,Walk in,591.0,683.0,92.0,,False
2026-03-14,เสาร์ 14/3,143,63,5A,5A,Indoor,False,2.0,Walk in,592.0,640.0,48.0,,False
2026-03-14,เสาร์ 14/3,143,64,2B,2B,Indoor,False,3.0,Walk in,597.0,688.0,91.0,,False
2026-03-14,เสาร์ 14/3,143,64,3A,3A,Indoor,False,3.0,Walk in,597.0,688.0,91.0,,False
2026-03-14,เสาร์ 14/3,143,65,10A,10A,Outdoor,False,2.0,Walk in,599.0,645.0,46.0,,False
2026-03-14,เสาร์ 14/3,143,66,14,14,Outdoor,False,2.0,Walk in,600.0,687.0,87.0,,False
2026-03-14,เสาร์ 14/3,143,67,6_?,6,Indoor,True,2.0,Walk in,604.0,685.0,81.0,DQ04_BARE_TABLE_NO,False
2026-03-14,เสาร์ 14/3,143,68,7C,7C,Outdoor,False,2.0,Walk in,605.0,681.0,76.0,,False
2026-03-14,เสาร์ 14/3,143,69,8A,8A,Outdoor,False,1.0,Walk in,611.0,622.0,11.0,,False
2026-03-14,เสาร์ 14/3,143,70,13,13,Outdoor,False,2.0,In house,612.0,660.0,48.0,,True
2026-03-14,เสาร์ 14/3,143,71,11_?,11,Outdoor,True,2.0,In house,616.0,638.0,22.0,DQ04_BARE_TABLE_NO,False
2026-03-14,เสาร์ 14/3,143,72,5B,5B,Indoor,False,1.0,Walk in,614.0,697.0,83.0,,False
2026-03-14,เสาร์ 14/3,143,73,16,16,Outdoor,False,1.0,Walk in,619.0,642.0,23.0,DQ03_TABLE16_NOT_IN_APPENDIX,False
2026-03-14,เสาร์ 14/3,143,74,8B,8B,Outdoor,False,1.0,Walk in,623.0,683.0,60.0,,False
2026-03-14,เสาร์ 14/3,143,75,8A,8A,Outdoor,False,2.0,In house,625.0,665.0,40.0,,False
2026-03-14,เสาร์ 14/3,143,76,8C,8C,Outdoor,False,2.0,Walk in,626.0,679.0,53.0,,False
2026-03-14,เสาร์ 14/3,143,77,7B,7B,Outdoor,False,2.0,Walk in,630.0,720.0,90.0,,False
2026-03-14,เสาร์ 14/3,143,78,1B,1B,Indoor,False,3.0,Walk in,641.0,714.0,73.0,,False
2026-03-14,เสาร์ 14/3,143,78,2A,2A,Indoor,False,3.0,Walk in,641.0,714.0,73.0,,False
2026-03-14,เสาร์ 14/3,143,79,16,16,Outdoor,False,1.0,Walk in,660.0,689.0,29.0,DQ03_TABLE16_NOT_IN_APPENDIX,False
2026-03-14,เสาร์ 14/3,143,80,1A,1A,Indoor,False,2.0,In house,684.0,745.0,61.0,,False
2026-03-14,เสาร์ 14/3,143,81,6_?,6,Indoor,True,2.0,Walk in,705.0,751.0,46.0,DQ04_BARE_TABLE_NO,False
2026-03-15,อาทิตย์ 15/3,153,1,10B,10B,Outdoor,False,2.0,Walk in,410.0,488.0,78.0,,False
2026-03-15,อาทิตย์ 15/3,153,2,1_?,1,Indoor,True,1.0,Walk in,413.0,470.0,57.0,DQ04_BARE_TABLE_NO,False
2026-03-15,อาทิตย์ 15/3,153,3,7A,7A,Outdoor,False,1.0,Walk in,417.0,525.0,108.0,,False
2026-03-15,อาทิตย์ 15/3,153,4,3B,3B,Indoor,False,3.0,Walk in,422.0,480.0,58.0,DQ16_PAX_OVER_CAPACITY,False
2026-03-15,อาทิตย์ 15/3,153,5,4A,4A,Indoor,False,2.0,Walk in,432.0,492.0,60.0,,False
2026-03-15,อาทิตย์ 15/3,153,6,5B,5B,Indoor,False,2.0,In house,433.0,485.0,52.0,,False
2026-03-15,อาทิตย์ 15/3,153,7,11A,11A,Outdoor,False,,Walk in,435.0,600.0,165.0,DQ13_PAX_ZERO_BUT_SEATED,False
2026-03-15,อาทิตย์ 15/3,153,8,6A,6A,Indoor,False,3.0,Walk in,455.0,554.0,99.0,DQ04_BARE_TABLE_NO,False
2026-03-15,อาทิตย์ 15/3,153,8,6B,6B,Indoor,False,3.0,Walk in,455.0,554.0,99.0,DQ04_BARE_TABLE_NO,False
2026-03-15,อาทิตย์ 15/3,153,9,7B,7B,Outdoor,False,1.0,In house,455.0,480.0,25.0,,False
2026-03-15,อาทิตย์ 15/3,153,10,2A,2A,Indoor,False,3.0,Walk in,469.0,550.0,81.0,DQ04_BARE_TABLE_NO,False
2026-03-15,อาทิตย์ 15/3,153,10,2B,2B,Indoor,False,3.0,Walk in,469.0,550.0,81.0,DQ04_BARE_TABLE_NO,False
2026-03-15,อาทิตย์ 15/3,153,11,1A,1A,Indoor,False,2.0,Walk in,471.0,567.0,96.0,,True
2026-03-15,อาทิตย์ 15/3,153,12,16,16,Outdoor,False,1.0,Walk in,479.0,575.0,96.0,DQ03_TABLE16_NOT_IN_APPENDIX,False
2026-03-15,อาทิตย์ 15/3,153,13,8B,8B,Outdoor,False,2.0,In house,479.0,507.0,28.0,,False
2026-03-15,อาทิตย์ 15/3,153,14,15,15,Outdoor,False,4.0,Walk in,480.0,646.0,166.0,,False
2026-03-15,อาทิตย์ 15/3,153,15,1B,1B,Indoor,False,2.0,Walk in,482.0,560.0,78.0,,False
2026-03-15,อาทิตย์ 15/3,153,16,8C,8C,Outdoor,False,1.0,Walk in,483.0,562.0,79.0,,False
2026-03-15,อาทิตย์ 15/3,153,17,3B,3B,Indoor,False,3.0,Walk in,484.0,564.0,80.0,DQ16_PAX_OVER_CAPACITY,True
2026-03-15,อาทิตย์ 15/3,153,18,13,13,Outdoor,False,4.0,In house,485.0,590.0,105.0,,False
2026-03-15,อาทิตย์ 15/3,153,18,14,14,Outdoor,False,4.0,In house,485.0,590.0,105.0,,False
2026-03-15,อาทิตย์ 15/3,153,19,4B,4B,Indoor,False,2.0,Walk in,490.0,630.0,140.0,,True
2026-03-15,อาทิตย์ 15/3,153,20,10A,10A,Outdoor,False,2.0,Walk in,490.0,594.0,104.0,,False
2026-03-15,อาทิตย์ 15/3,153,21,4A,4A,Indoor,False,,In house,492.0,665.0,173.0,DQ13_PAX_ZERO_BUT_SEATED,True
2026-03-15,อาทิตย์ 15/3,153,22,9_?,9,Outdoor,True,2.0,In house,492.0,590.0,98.0,DQ04_BARE_TABLE_NO,False
2026-03-15,อาทิตย์ 15/3,153,23,4A,4A,Indoor,False,2.0,Walk in,553.0,582.0,29.0,,True
2026-03-15,อาทิตย์ 15/3,153,24,10B,10B,Outdoor,False,2.0,Walk in,494.0,615.0,121.0,,False
2026-03-15,อาทิตย์ 15/3,153,25,12,12,Outdoor,False,2.0,Walk in,495.0,607.0,112.0,,False
2026-03-15,อาทิตย์ 15/3,153,26,7C,7C,Outdoor,False,2.0,Walk in,496.0,573.0,77.0,,False
2026-03-15,อาทิตย์ 15/3,153,27,7B,7B,Outdoor,False,2.0,Walk in,496.0,552.0,56.0,,False
2026-03-15,อาทิตย์ 15/3,153,29,11B,11B,Outdoor,False,2.0,Walk in,545.0,695.0,150.0,,True
2026-03-15,อาทิตย์ 15/3,153,30,8B,8B,Outdoor,False,2.0,In house,509.0,540.0,31.0,,False
2026-03-15,อาทิตย์ 15/3,153,31,7A,7A,Outdoor,False,1.0,In house,525.0,570.0,45.0,,False
2026-03-15,อาทิตย์ 15/3,153,32,2A,2A,Indoor,False,3.0,Walk in,550.0,633.0,83.0,DQ04_BARE_TABLE_NO,False
2026-03-15,อาทิตย์ 15/3,153,32,2B,2B,Indoor,False,3.0,Walk in,550.0,633.0,83.0,DQ04_BARE_TABLE_NO,False
2026-03-15,อาทิตย์ 15/3,153,33,3A,3A,Indoor,False,3.0,Walk in,553.0,620.0,67.0,DQ04_BARE_TABLE_NO,False
2026-03-15,อาทิตย์ 15/3,153,33,3B,3B,Indoor,False,3.0,Walk in,553.0,620.0,67.0,DQ04_BARE_TABLE_NO,True
